No.,Phase,State,PC Name,Electors,Poll (%),Votes
1,1,"Andaman & NicobarIslands","Andaman & NicobarIslands",315148,64.1,202018
2,1,Arunachal Pradesh,Arunachal East,375310,83.31,312658
3,1,Arunachal Pradesh,Arunachal West,517384,73.6,380783
4,1,Assam,Dibrugarh,1659588,76.75,1273744
5,1,Assam,Jorhat,1727121,79.89,1379749
6,1,Assam,Kaziranga,2050126,79.33,1626408
7,1,Assam,Lakhimpur,1577234,76.42,1205331
8,1,Assam,Sonitpur,1633800,78.46,1281959
9,1,Bihar,Aurangabad,1871564,50.35,942382
10,1,Bihar,Gaya,1816815,52.76,958623
11,1,Bihar,Jamui,1907126,51.25,977369
12,1,Bihar,Nawada,2006124,43.17,866102
13,1,Chhattisgarh,BASTAR,1472207,68.29,1005392
14,1,Jammu and Kashmir,UDHAMPUR,1623195,68.27,1108206
15,1,Lakshadweep,Lakshadweep,57784,84.16,48630
16,1,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207
17,1,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001
18,1,Madhya Pradesh,JABALPUR,1896346,61,1156722
19,1,Madhya Pradesh,MANDLA,2101811,72.84,1530861
20,1,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506
21,1,Madhya Pradesh,SIDHI,2028451,56.5,1146150
22,1,Maharashtra,Bhandara Gondiya,1827188,67.04,1224928
23,1,Maharashtra,Chandrapur,1837906,67.55,1241574
24,1,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476
25,1,Maharashtra,Nagpur,2223281,54.32,1207738
26,1,Maharashtra,Ramtek,2049085,61.01,1250190
27,1,Manipur,Inner Manipur,991574,80.15,794790
28,1,Manipur,Outer Manipur,553078,68.83,380688
29,1,Meghalaya,Shillong,1400411,73.78,1033251
30,1,Meghalaya,Tura,826156,81.37,672284
31,1,Mizoram,MIZORAM,856364,56.87,487013
32,1,Nagaland,Nagaland,1317536,57.72,760507
33,1,Puducherry,PUDUCHERRY,1023699,78.9,807724
34,1,Rajasthan,ALWAR,2059888,60.07,1237446
35,1,Rajasthan,BHARATPUR,2114916,52.8,1116742
36,1,Rajasthan,BIKANER,2048399,54.11,1108418
37,1,Rajasthan,CHURU,2213187,63.61,1407716
38,1,Rajasthan,DAUSA,1899304,55.72,1058386
39,1,Rajasthan,GANGANAGAR,2102002,66.59,1399688
40,1,Rajasthan,JAIPUR,2287350,63.38,1449612
41,1,Rajasthan,JAIPUR RURAL,2184978,56.7,1238818
42,1,Rajasthan,JHUNJHUNU,2068540,52.93,1094900
43,1,Rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618
44,1,Rajasthan,NAGAUR,2146725,57.23,1228494
45,1,Rajasthan,SIKAR,2214900,57.53,1274270
46,1,Sikkim,Sikkim,464140,79.88,370765
47,1,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441
48,1,Tamil Nadu,ARANI,1496118,75.76,1133520
49,1,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614
50,1,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367
51,1,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026
52,1,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762
53,1,Tamil Nadu,COIMBATORE,2106124,64.89,1366597
54,1,Tamil Nadu,CUDDALORE,1412746,72.57,1025298
55,1,Tamil Nadu,DHARMAPURI,1524896,81.2,1238184
56,1,Tamil Nadu,DINDIGUL,1607051,71.14,1143196
57,1,Tamil Nadu,ERODE,1538778,70.59,1086287
58,1,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597
59,1,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582
60,1,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532
61,1,Tamil Nadu,KARUR,1429790,78.7,1125241
62,1,Tamil Nadu,KRISHNAGIRI,1623179,71.5,1160498
63,1,Tamil Nadu,MADURAI,1582271,62.04,981650
64,1,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243
65,1,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694
66,1,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069
67,1,Tamil Nadu,NILGIRIS,1428387,70.95,1013410
68,1,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881
69,1,Tamil Nadu,POLLACHI,1597467,70.41,1124743
70,1,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036
71,1,Tamil Nadu,SALEM,1658681,78.16,1296481
72,1,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887
73,1,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243
74,1,Tamil Nadu,TENKASI,1525439,67.65,1031961
75,1,Tamil Nadu,THANJAVUR,1501226,68.27,1024949
76,1,Tamil Nadu,THENI,1622949,69.84,1133513
77,1,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468
78,1,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093
79,1,Tamil Nadu,TIRUNELVELI,1654503,64.1,1060461
80,1,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998
81,1,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738
82,1,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102
83,1,Tamil Nadu,VELLORE,1528273,73.53,1123715
84,1,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164
85,1,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634
86,1,Tripura,Tripura West,1463526,81.48,1192435
88,1,Uttar Pradesh,Kairana,1722432,62.46,1075839
89,1,Uttar Pradesh,Moradabad,2059578,62.18,1280706
90,1,Uttar Pradesh,Muzaffarnagar,1817472,59.13,1074608
91,1,Uttar Pradesh,Nagina,1644909,60.75,999203
92,1,Uttar Pradesh,Pilibhit,1831699,63.11,1155917
93,1,Uttar Pradesh,Rampur,1731836,55.85,967200
94,1,Uttar Pradesh,Saharanpur,1855310,66.14,1227083
95,1,Uttarakhand,Almora,1339327,48.74,652726
96,1,Uttarakhand,Garhwal,1369388,52.42,717834
97,1,Uttarakhand,Haridwar,2035726,63.53,1293362
98,1,Uttarakhand,"Nainital-UdhamsinghNagar",2015809,62.47,1259180
99,1,Uttarakhand,Tehri Garhwal,1577664,53.76,848186
100,1,West Bengal,Alipurduars,1773252,79.76,1414258
101,1,West Bengal,Coochbehar,1966893,82.16,1616079
102,1,West Bengal,Jalpaiguri,1885963,83.66,1577828
1,2,Assam,Darrang-Udalguri,2209314,82.01,1811764
2,2,Assam,Diphu,901032,75.74,682441
3,2,Assam,Karimganj,1412148,80.48,1136538
4,2,Assam,Nagaon,1817204,84.97,1544081
5,2,Assam,Silchar,1369578,79.05,1082616
6,2,Bihar,Banka,1856566,54.48,1011513
7,2,Bihar,Bhagalpur,1983031,53.5,1060982
8,2,Bihar,Katihar,1833009,63.76,1168752
9,2,Bihar,Kishanganj,1829994,62.84,1149988
10,2,Bihar,Purnia,1893698,63.08,1194484
11,2,Chhattisgarh,KANKER,1654440,76.23,1261103
12,2,Chhattisgarh,MAHASAMUND,1762477,75.02,1322125
